region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
17,-141.87426900584978,45079.301169590646,0.106875,45.079,17.3815,2.9258,25.6888,15.91,0.814,-2843.0931,1.0,0.0,0.0,0.0,1.0,QUALIFIED
89,6105.210172744715,43861.20057581574,0.325625,44.2836,16.9701,3.3394,29.3742,14.9853,1.6968,-200.8888,1.0,0.0045,0.0419,1.0,1.0,QUALIFIED
122,-5710.533444816057,43871.57023411372,0.186875,44.2411,5.4274,3.527,21.3257,4.3964,3.2161,-3891.8919,1.0,1.0,0.0,0.0,1.0,QUALIFIED
123,-3357.1198224852124,43674.994575936886,1.2675,43.8033,10.5205,3.0869,25.419,9.2171,1.8901,-3575.3405,1.0,1.0,0.0,0.0,1.0,QUALIFIED
135,-6067.930555555555,43695.84722222222,0.225,44.1146,10.1411,3.435,19.2638,9.5475,2.7886,-3869.5239,1.0,1.0,0.0,0.0,1.0,QUALIFIED
169,-5700.386877828052,43399.93438914027,0.138125,43.7721,6.7318,4.1838,21.816,6.6845,3.8382,-3877.4711,1.0,1.0,0.0,0.0,1.0,QUALIFIED
210,10133.22881355932,43277.36440677966,0.184375,44.4475,15.6648,4.0091,26.8117,13.8643,2.8138,-572.7321,1.0,0.0507,0.2047,1.0,1.0,QUALIFIED
254,12680.028846153844,42787.08653846154,0.325,44.6261,16.1923,3.4981,28.2394,14.3405,2.2029,-552.879,1.0,0.0002,0.0035,1.0,1.0,QUALIFIED
270,11350.879310344826,42607.137931034486,0.18125,44.0928,6.2766,3.4999,20.6046,5.4607,2.6566,-310.3623,1.0,0.0052,0.0575,1.0,1.0,QUALIFIED
292,11560.303237858032,42806.78891656289,0.501875,44.3399,9.1139,2.8238,21.5889,8.0967,1.8137,-343.9464,1.0,0.0053,0.0566,1.0,1.0,QUALIFIED
298,8201.940147329653,42644.23848987109,0.339375,43.4254,15.2155,4.1122,27.4955,13.228,2.9341,-605.9663,1.0,0.0018,0.0342,1.0,1.0,QUALIFIED
362,11328.247433264893,41699.883983572894,0.304375,43.2109,5.4505,2.8561,16.6329,4.8213,2.8376,-300.8342,1.0,0.0137,0.0912,1.0,1.0,QUALIFIED
372,10602.79457364342,42080.151162790695,0.080625,43.395,12.4883,3.5392,23.5334,11.4077,1.7662,-446.9166,1.0,0.0,0.0,1.0,1.0,QUALIFIED
417,-16035.041984732825,41551.454198473286,0.081875,44.5375,13.6683,3.2817,22.3475,12.1763,2.7769,-824.8278,1.0,0.0598,0.2028,0.0,1.0,QUALIFIED
426,10238.209677419356,41388.8870967742,0.096875,42.636,13.4954,2.4177,19.9367,12.1806,1.6459,-408.7001,1.0,0.0,0.0,1.0,1.0,QUALIFIED
450,9250.436987584922,41776.37842586086,2.668125,42.7879,10.0405,4.1331,24.6503,8.6154,3.208,-526.4165,1.0,0.0165,0.11,1.0,1.0,QUALIFIED
493,3411.515503875969,40728.6007751938,0.080625,40.8708,16.453,3.2166,24.8368,14.9833,1.6661,-1125.454,1.0,1.0,0.0,1.0,1.0,QUALIFIED
500,8656.826007326003,40971.56227106227,0.170625,41.8757,4.6931,3.1575,14.8796,4.06,2.0445,-432.7842,1.0,0.0116,0.0752,1.0,1.0,QUALIFIED
501,12474.704081632648,40727.642857142855,0.153125,42.595,10.0486,4.3273,23.5136,8.734,2.7203,-253.6049,1.0,0.0193,0.1092,1.0,1.0,QUALIFIED
544,8764.9052443385,40507.085220500594,0.524375,41.4441,8.5305,4.2724,19.7924,7.5022,3.6913,-455.9466,1.0,0.0105,0.0823,1.0,1.0,QUALIFIED
557,3725.5989010989,40473.08241758242,0.284375,40.6437,11.2043,4.5794,22.6951,10.0042,2.645,-1202.7844,1.0,0.9497,0.1984,1.0,1.0,QUALIFIED
575,2376.929805615546,40258.49136069114,0.289375,40.3281,12.289,4.9473,29.6579,11.0543,3.8883,-1219.7548,1.0,0.055,0.1821,1.0,1.0,QUALIFIED
590,4466.57317073171,40136.06910569106,0.15375,40.3834,8.0543,4.3664,23.9752,7.4779,3.3839,-1330.7852,1.0,1.0,0.0,1.0,1.0,QUALIFIED
595,-1800.457627118638,40280.58474576271,0.36875,40.3203,14.6095,2.6932,24.3435,13.1487,1.1742,-2622.3555,1.0,0.0012,0.0236,0.0,1.0,QUALIFIED
622,-18587.960815047023,39786.706896551725,0.199375,43.914,16.2326,4.6412,28.1851,14.3334,2.3503,-1531.6721,1.0,0.0217,0.1244,1.0,1.0,QUALIFIED
642,-2388.5376344086035,39931.81720430108,0.34875,40.0027,18.2093,3.8205,28.3106,16.3864,3.3635,-2647.5809,1.0,0.0,0.0,0.0,1.0,QUALIFIED
646,10320.21428571429,39678.78571428571,0.21875,40.9986,6.5128,3.2297,17.7623,5.5252,2.3007,-455.0002,1.0,0.1435,0.3148,1.0,1.0,QUALIFIED
699,8819.950680272108,39399.05442176871,0.3675,40.3738,7.7274,4.5206,21.6938,6.4339,2.9477,-436.0203,1.0,0.0578,0.1996,1.0,1.0,QUALIFIED
701,14212.1893939394,39186.295454545456,0.0825,41.6837,8.196,3.2427,18.98,7.9439,2.4334,125.3576,1.0,0.0124,0.0942,1.0,1.0,QUALIFIED
703,12271.229651162786,39013.79941860465,0.215,40.8978,10.6016,3.6396,21.0857,9.5801,2.8124,-15.3451,1.0,0.0315,0.1534,0.813953,1.0,QUALIFIED
715,9409.156153050671,39060.76370217167,1.20875,40.1777,8.2002,4.1034,28.7172,6.7347,2.7217,-438.6342,1.0,0.107,0.2853,1.0,1.0,QUALIFIED
718,6923.136363636368,39908.0,0.9625,40.5036,17.4493,4.1434,29.3671,15.8434,3.2755,-977.0789,1.0,0.0031,0.0421,1.0,1.0,QUALIFIED
749,13372.71428571429,38733.23809523809,0.42,40.9764,6.336,4.5016,22.9052,5.3946,3.7138,116.0439,1.0,0.0363,0.1483,1.0,1.0,QUALIFIED
759,-3865.272727272728,38748.606060606064,0.0825,38.9404,3.7245,1.5531,9.4846,3.5836,1.1171,-2197.8891,1.0,0.1955,0.3416,0.0,1.0,QUALIFIED
766,-19382.98299319728,38874.64965986395,0.091875,43.4382,7.7229,4.0602,21.251,7.2059,2.393,-1773.0318,1.0,1.0,0.0,1.0,1.0,QUALIFIED
773,-20351.198324022345,38631.64525139665,0.111875,43.6637,8.5134,4.6268,20.4774,8.066,3.6998,-1810.2863,1.0,1.0,0.0,1.0,1.0,QUALIFIED
804,13632.895522388062,38475.96641791045,0.1675,40.8195,5.4189,3.0478,15.238,3.8922,1.6865,123.8049,1.0,0.193,0.3402,1.0,1.0,QUALIFIED
