region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context
1,7.0,0.004375,0.7,2.5,0.2857142857142857,1813.857142857143,-129.07142857142753,45468.357142857145,45.468,0,1812,2,1817,8.6215,2.9929,13.8557,9.4066,1.5382,-2882.5371,1.0,0.0,0.0,2.0,,,,0.0,,0.056537,0.05657,5.2e-05,1.0,,0.00256,0.000322,-0.000904,0.002194,-0.018525,-0.009791,-0.019389,-0.03106,7,1.0,24.6404,85.2909
2,2.0,0.00125,1.0,2.0,0.0,1852.5,837.0,45475.5,45.4827,0,1852,1,1854,13.8231,0.8772,14.4434,20.0823,1.8113,-2496.8,1.0,,,,,,,0.0,,0.04845,0.04845,0.002416,1.0,,-0.001101,-7.4e-05,-0.001151,0.001474,-0.002516,-0.003686,-0.005376,-0.002913,2,1.0,24.6404,85.2909
3,4.0,0.0025,1.0,1.0,2.5,1748.5,-1763.0,45413.0,45.4467,2,1748,4,1750,8.9556,2.8948,11.7984,913.9758,134.3696,-3322.94,1.0,1.0,0.0,4.0,,,,0.0,,0.05525,0.05525,0.0,1.0,,0.002952,0.002758,-0.002271,-0.000492,4.5e-05,-0.005278,-0.003975,-0.017046,4,1.0,24.6404,85.2909
4,2.0,0.00125,1.0,2.0,5.5,1679.0,-3500.5,45338.0,45.4724,5,1679,7,1680,45.7218,60.9519,88.8213,1150.667,73.9181,-3468.6934,1.0,0.0,,1.0,,,,0.0,,0.05659,0.05659,0.0,1.0,,,,,,,,,,0,0.0,24.6404,85.2909
5,6.0,0.00375,0.6667,1.0,6.166666666666667,1793.8333333333333,-629.6666666666715,45321.333333333336,45.3252,5,1793,8,1796,9.5899,1.8584,11.9581,10.9027,0.716,-2993.8134,1.0,0.4267,0.4408,6.0,,,,0.0,,0.086589,0.081676,0.006947,1.0,,0.001075,-0.000739,0.000356,0.002257,-0.016541,-0.008433,-0.015512,-0.030965,6,1.0,24.6404,85.2909
6,2474.0,1.54625,0.5956,1.08,28.816895715440584,1788.0586095392077,-774.0347615198043,44755.077607113984,44.7613,0,1762,67,1824,17.9769,3.7793,32.6581,16.0591,2.3907,-2989.6207,1.0,0.1201,0.2925,2414.0,,,,0.0,0.0,0.05898,0.057599,0.008094,1.0,1.0,0.00222,-0.000451,-0.001367,0.001655,-0.007856,-0.005849,-0.010158,-0.010158,2474,1.0,24.6404,85.2909
7,25.0,0.015625,0.9259,3.0,3.68,1786.0,-825.5,45383.5,45.3905,0,1785,9,1788,12.4309,2.7387,17.6348,11.6816,0.6463,-3031.1714,1.0,0.1455,0.2714,22.0,,,,0.0,,0.053169,0.050753,0.004906,1.0,,0.000243,0.000173,-0.000109,0.000159,-0.007555,-0.004264,-0.008263,-0.013788,25,1.0,24.6404,85.2909
8,5.0,0.003125,0.5556,1.0,8.0,1695.0,-3100.5,45275.5,45.381,7,1694,10,1697,4.4856,2.4995,7.0307,4.2455,0.4993,-3424.44,1.0,1.0,0.0,5.0,,,,0.0,,0.057,0.05707,0.00135,1.0,,-0.001354,0.002464,-0.002049,-0.004714,-0.00278,-0.009532,-0.006908,-0.019692,5,1.0,24.6404,85.2909
9,1.0,0.000625,1.0,1.0,8.0,1722.0,-2425.5,45275.5,45.3399,8,1722,9,1723,1.1235,,1.1235,4.602,,-3359.1201,1.0,1.0,,1.0,,,,0.0,,0.062998,0.062998,0.0,1.0,,0.00159,-0.000123,-0.000925,0.000959,0.007795,-0.000144,0.011403,0.010971,1,1.0,24.6404,85.2909
10,6.0,0.00375,0.6667,1.0,7.833333333333333,1772.1666666666667,-1171.3333333333285,45279.666666666664,45.2943,7,1771,10,1774,10.1568,1.8936,13.5373,12.9739,0.8676,-3129.4467,1.0,0.04,0.098,6.0,,,,0.0,,0.058314,0.058264,0.000202,1.0,,-0.000444,0.001734,3.2e-05,-0.000547,-0.000647,-0.002822,-0.002869,-0.002249,6,1.0,24.6404,85.2909
11,13.0,0.008125,0.52,1.0,6.6923076923076925,1962.923076923077,3597.576923076922,45308.192307692305,45.4503,5,1961,10,1966,39.8792,25.982,86.2799,178.1643,98.7446,-510.279,1.0,0.0,0.0,7.0,,,,0.0,,0.056714,0.056717,0.001135,1.0,,,,,,,,,,0,0.0,24.6404,85.2909
12,24.0,0.015,0.75,2.0,11.5,1756.3333333333333,-1567.1666666666715,45188.0,45.2147,8,1755,16,1759,14.4272,2.0043,18.6855,15.4767,0.7218,-3239.2016,1.0,0.9083,0.2283,24.0,,,,0.0,0.0,0.058986,0.05895,0.001568,1.0,1.0,0.001313,0.000805,-0.000386,0.001244,-0.000227,-0.002883,-0.004872,-0.008084,24,1.0,24.6404,85.2909
13,3.0,0.001875,0.75,1.0,8.333333333333334,1998.3333333333333,4482.8333333333285,45267.166666666664,45.4881,8,1998,10,2000,58.0879,50.1826,87.5632,405.7884,14.933,-207.8533,1.0,,,,,,,0.0,,0.058961,0.058961,0.0,0.333333,,,,,,,,,,0,0.0,24.6404,85.2909
14,2.0,0.00125,1.0,2.0,10.5,1628.0,-4775.5,45213.0,45.464,10,1628,12,1629,48.1965,57.5878,88.9172,1213.2391,106.7663,-3683.88,1.0,1.0,,1.0,,,,0.0,,0.089218,0.089218,0.0,1.0,,-0.00214,0.00832,0.004652,0.003069,0.005034,0.003176,-0.004407,0.004365,1,0.5,24.6404,85.2909
15,2.0,0.00125,1.0,2.0,12.0,1647.5,-4288.0,45175.5,45.378,12,1647,13,1649,8.115,6.3703,12.6195,9.3601,0.0308,-3590.0601,1.0,1.0,0.0,2.0,,,,0.0,,0.045385,0.045385,0.0,1.0,,-0.00272,0.006489,0.00281,0.003779,-0.001371,-0.004904,-0.008491,-0.015442,2,1.0,24.6404,85.2909
16,12.0,0.0075,0.75,1.0,13.416666666666666,1609.25,-5244.25,45140.083333333336,45.4431,12,1608,16,1612,28.1269,36.7,88.9549,889.6136,473.6367,-3774.9668,1.0,1.0,0.0,9.0,,,,0.0,,0.102413,0.096933,0.011502,1.0,,0.002513,-0.001772,0.000402,-0.001638,-0.001271,-0.003021,0.000856,-0.005269,12,1.0,24.6404,85.2909
17,171.0,0.106875,0.4647,1.44,15.847953216374268,1813.345029239766,-141.87426900584978,45079.301169590646,45.079,8,1802,24,1825,17.3815,2.9258,25.6888,15.91,0.814,-2843.0931,1.0,0.0,0.0,171.0,,,,0.0,0.0,0.062509,0.061463,0.006944,1.0,1.0,-0.00053,0.000162,-0.001828,0.002299,-0.006644,-0.005508,-0.008214,-0.002398,171,1.0,24.6404,85.2909
18,15.0,0.009375,0.9375,1.0,13.4,2031.6,5314.5,45140.5,45.4518,12,2030,16,2034,31.5382,33.8553,85.7696,240.3838,112.0509,-368.4691,1.0,0.0,0.0,7.0,,,,0.0,,0.090513,0.086838,0.006262,1.0,,0.176323,0.210902,0.304217,0.317067,0.390598,0.398651,0.402243,0.403833,15,1.0,67.2511,77.9602
19,2.0,0.00125,1.0,2.0,13.5,2039.0,5499.5,45138.0,45.4714,13,2039,15,2040,47.6793,53.5359,85.5349,306.0151,18.5989,-400.0667,1.0,,,,,,,0.0,,0.069295,0.069295,0.0,0.5,,0.038797,0.045143,0.069961,0.07098,0.090265,0.091869,0.088815,0.079998,2,1.0,67.2511,77.9602
20,6.0,0.00375,0.6667,1.0,14.833333333333334,1666.1666666666667,-3821.3333333333285,45104.666666666664,45.2657,14,1665,17,1668,3.4387,1.6164,5.8141,5.2837,0.543,-3519.3867,1.0,1.0,0.0,6.0,,,,0.0,0.0,0.054128,0.054128,0.0,1.0,,-0.000758,0.004133,-0.000818,0.001084,-0.002175,-0.005089,-0.008041,-0.022925,6,1.0,24.6404,85.2909
21,5.0,0.003125,0.5556,1.0,15.0,1740.0,-1975.5,45100.5,45.1432,14,1739,17,1742,3.8078,2.0687,5.2006,5.496,0.1981,-3323.424,1.0,1.0,0.0,5.0,,,,0.0,0.0,0.061672,0.061142,0.00106,1.0,1.0,0.003597,0.001525,-0.000524,0.002753,0.000309,-0.003941,-0.005545,-0.00951,5,1.0,24.6404,85.2909
22,8.0,0.005,0.6667,1.33,16.375,1677.75,-3531.75,45066.125,45.2038,15,1677,19,1680,3.2361,0.9932,4.6485,5.594,0.2462,-3487.875,1.0,1.0,0.0,8.0,,,,0.0,0.0,0.05194,0.05194,0.001625,1.0,1.0,-0.001862,0.00264,-0.002698,-0.002034,-0.001277,-0.008518,-0.007528,-0.02082,8,1.0,24.6404,85.2909
23,2.0,0.00125,1.0,2.0,17.5,2069.0,6249.5,45038.0,45.4691,17,2069,19,2070,46.4688,54.5257,85.0243,270.1119,19.5779,-465.3947,1.0,,,,,,,0.0,,0.048448,0.048448,0.0,1.0,,,,,,,,,,0,0.0,67.2511,77.9602
24,5.0,0.003125,0.5556,1.0,20.0,1688.0,-3275.5,44975.5,45.0941,19,1687,22,1690,4.8064,1.9561,6.8427,7.115,0.2268,-3460.672,1.0,1.0,0.0,5.0,,,,0.0,0.0,0.053526,0.052089,0.002443,1.0,1.0,0.001252,0.004225,-0.002301,-0.000912,-0.002496,-0.008042,-0.001285,-0.007391,5,1.0,24.6404,85.2909
25,67.0,0.041875,0.7444,1.11,21.46268656716418,1560.134328358209,-6472.141791044778,44938.932835820895,45.402,18,1556,27,1566,13.4048,28.0995,89.3003,508.3142,598.7044,-3929.9568,1.0,1.0,0.0,57.0,,,,0.0,,0.039123,0.039131,0.001807,0.895522,,-0.012478,-0.001323,-0.000118,0.000441,0.001407,-0.001962,-0.005885,-0.003042,32,0.4776,-34.341,89.0052
26,8.0,0.005,0.6667,1.33,20.375,1704.25,-2869.25,44966.125,45.057,19,1703,23,1706,6.138,2.5827,9.4265,6.0466,0.4215,-3410.945,1.0,1.0,0.0,8.0,,,,0.0,0.0,0.062297,0.062297,0.002762,1.0,1.0,0.004436,0.004527,0.003932,0.000713,-0.000656,-0.009518,0.000113,-0.015693,8,1.0,24.6404,85.2909
27,1209.0,0.755625,0.6694,1.02,18.418527708850288,1732.6492969396195,-2159.267576509512,45015.036807278746,45.0663,1,1710,43,1753,9.9923,14.2315,89.1329,97.4956,288.0956,-3333.1429,1.0,0.9912,0.0733,1156.0,,,,0.0,0.0,0.059234,0.059158,0.003967,0.991729,1.0,0.004329,0.001684,0.000658,0.003785,-0.006926,-0.008398,-0.010212,-0.018454,1110,0.9181,24.6404,85.2909
28,8.0,0.005,0.6667,1.33,21.5,1767.0,-1300.5,44938.0,44.9563,20,1766,24,1769,9.4335,2.9768,13.1723,14.6373,0.7213,-3137.565,1.0,0.43,0.4095,8.0,,,,0.0,0.0,0.057209,0.055066,0.003435,1.0,1.0,0.002654,0.000547,-0.000108,0.003293,-0.014427,-0.008762,-0.018183,-0.018416,8,1.0,24.6404,85.2909
29,8.0,0.005,0.6667,1.33,21.75,1847.625,715.125,44931.75,44.9369,21,1846,24,1850,22.0547,1.7272,24.7415,23.9448,0.7232,-2491.51,1.0,0.0,0.0,8.0,,,,0.0,0.0,0.068088,0.068088,0.000124,1.0,1.0,0.000216,-0.003311,-0.001068,0.000503,-0.000281,-0.002549,-0.002202,0.000357,8,1.0,24.6404,85.2909
30,3.0,0.001875,1.0,3.0,21.0,2089.0,6749.5,44950.5,45.454,20,2089,23,2090,31.6143,46.2671,85.0365,234.9933,54.0042,-463.1689,1.0,0.0,0.0,2.0,0.224374,0.227061,0.037975,1.0,,0.065957,0.065957,0.0,0.666667,,-0.004888,-0.006002,0.000928,-0.001219,-0.002143,-0.003428,-0.014577,-0.007147,1,0.3333,67.2511,77.9602
31,2.0,0.00125,1.0,2.0,23.0,1809.5,-238.0,44900.5,44.9006,23,1809,24,1811,11.2774,0.8037,11.8457,15.3008,0.0794,-2832.72,1.0,0.0,0.0,2.0,,,,0.0,0.0,0.056288,0.056288,0.001509,1.0,1.0,-0.001818,0.001085,-0.00285,0.000507,-0.006192,-0.003247,-0.011817,-0.003409,2,1.0,24.6404,85.2909
32,2.0,0.00125,1.0,2.0,24.0,1603.5,-5388.0,44875.5,45.1972,24,1603,25,1605,3.6336,3.707,6.2548,5.7226,1.3698,-3831.54,1.0,1.0,0.0,2.0,,,,0.0,0.0,0.064501,0.064501,0.001333,1.0,1.0,-0.003139,0.007133,0.004545,0.000936,0.003237,-0.01006,-0.007032,0.023963,2,1.0,24.6404,85.2909
33,304.0,0.19,0.6032,1.14,19.220394736842106,1620.141447368421,-4971.963815789473,44994.99013157895,45.2683,10,1609,34,1630,16.8564,17.8342,89.2575,213.0792,439.4738,-3737.2132,1.0,1.0,0.0,280.0,,,,0.0,0.0,0.069373,0.06683,0.020291,0.950658,1.0,-0.000734,0.005251,0.002823,0.000296,0.000934,-0.001489,-0.005241,0.006048,296,0.9737,24.6404,85.2909
34,5.0,0.003125,0.5556,1.0,25.0,1650.0,-4225.5,44850.5,45.0486,24,1649,27,1652,9.6291,3.2481,13.2552,9.6171,0.1626,-3589.368,1.0,1.0,0.0,5.0,,,,0.0,0.0,0.048612,0.049665,0.001662,1.0,1.0,-0.000481,0.004852,-0.001496,0.000616,0.001425,-0.010185,-0.004366,-0.005305,5,1.0,24.6404,85.2909
35,15.0,0.009375,0.8333,2.0,26.333333333333332,1775.9333333333334,-1077.1666666666642,44817.166666666664,44.8296,24,1775,30,1778,12.9074,2.3278,16.3429,14.9532,0.5282,-3054.3467,1.0,0.0,0.0,15.0,,,,0.0,0.0,0.062273,0.061837,0.002079,1.0,1.0,0.001112,0.001667,-0.000759,0.005021,-0.014215,-0.004557,-0.013107,-0.009676,15,1.0,24.6404,85.2909
36,6.0,0.00375,0.6667,1.0,26.166666666666668,1968.1666666666667,3728.6666666666715,44821.333333333336,44.9757,25,1967,28,1970,13.9337,3.0113,16.595,20.4732,0.6452,-358.6267,1.0,0.0,0.0,6.0,,,,0.0,0.0,0.074864,0.0751,0.003838,1.0,1.0,0.014115,0.017239,0.023326,0.024444,0.031195,0.028269,0.030056,0.030987,6,1.0,24.6404,85.2909
37,3.0,0.001875,0.75,1.0,26.333333333333332,1507.6666666666667,-7783.8333333333285,44817.166666666664,45.4875,26,1507,28,1509,61.6851,47.57,89.2956,1404.6775,51.0101,-3914.7867,1.0,,,,,,,0.0,,0.046897,0.046897,0.0,1.0,,0.004297,0.002329,0.003176,0.007746,0.002168,-0.009349,0.010859,0.001365,3,1.0,-34.341,89.0052
38,15.0,0.009375,0.6,1.0,26.2,2025.7333333333333,5167.833333333336,44820.5,45.117,24,2024,29,2029,10.0474,1.869,12.9413,12.3458,0.6296,-275.6293,1.0,0.0427,0.1446,15.0,,,,0.0,0.0,0.082993,0.077714,0.010548,1.0,1.0,0.292565,0.358772,0.501494,0.53079,0.657877,0.667594,0.695541,0.685575,15,1.0,67.2511,77.9602
39,757.0,0.473125,0.5501,1.34,35.09114927344782,2119.752972258917,7518.324306472925,44598.221268163805,45.2271,23,2102,55,2145,11.9756,16.0084,85.9538,37.4013,70.1501,-547.682,1.0,0.2375,0.3989,697.0,0.221145,0.218002,0.055437,0.977543,1.0,0.079201,0.074872,0.016111,0.981506,1.0,0.001074,-0.001874,0.002969,-0.001711,-0.006529,-0.005677,-0.020713,-0.026184,729,0.963,67.2511,77.9602
40,3.0,0.001875,1.0,3.0,26.0,2121.0,7549.5,44825.5,45.4564,25,2121,28,2122,28.7852,47.9201,84.1172,196.7967,45.7599,-552.7586,1.0,0.0,,1.0,0.261514,0.264715,0.017775,1.0,,0.064079,0.064079,0.0,0.666667,,-0.000619,-0.000705,0.000589,-0.002274,-0.007761,-0.012215,-0.031002,-0.041163,3,1.0,67.2511,77.9602
41,43.0,0.026875,0.6719,1.0,25.953488372093023,1528.6511627906978,-7259.220930232557,44826.66279069767,45.4101,23,1525,31,1533,15.3513,30.081,89.3027,578.0343,611.4,-3939.6842,1.0,1.0,0.0,35.0,,,,0.0,,0.038038,0.037586,0.001994,0.860465,,-0.001754,-0.004621,-0.007491,0.003333,0.008391,0.000882,-0.003165,0.000493,43,1.0,-34.341,89.0052
42,2.0,0.00125,1.0,2.0,27.5,2133.0,7849.5,44788.0,45.4702,27,2133,29,2134,42.4644,58.7484,84.0058,217.6193,19.4013,-563.1776,1.0,,,,0.160025,0.160025,0.008391,1.0,,0.073654,0.073654,0.001218,1.0,,-6.8e-05,-0.002012,0.000798,-0.00196,-0.007968,-0.012038,-0.028332,-0.040594,2,1.0,67.2511,77.9602
43,1.0,0.000625,1.0,1.0,29.0,1664.0,-3875.5,44750.5,44.9175,29,1664,30,1665,0.4101,,0.4101,7.0368,,-3553.6001,1.0,1.0,,1.0,,,,0.0,0.0,0.053747,0.053747,0.0,1.0,1.0,0.00202,0.00341,-0.00087,0.003041,0.006301,-0.004794,-0.000535,0.006562,1,1.0,24.6404,85.2909
44,10.0,0.00625,0.6667,1.67,30.1,1801.3,-443.0,44723.0,44.7247,28,1800,33,1803,10.677,2.0649,13.3834,13.4917,0.2764,-2852.728,1.0,0.0,0.0,10.0,,,,0.0,0.0,0.061953,0.063637,0.002063,1.0,1.0,-0.00183,0.001824,-0.002117,0.000183,-0.001943,-0.004029,-0.005464,0.003805,10,1.0,24.6404,85.2909
45,5.0,0.003125,0.8333,1.5,29.4,2010.8,4794.5,44740.5,44.9962,29,2010,31,2013,8.5073,3.1635,11.7916,12.7667,0.9183,-202.992,1.0,0.312,0.1988,5.0,,,,0.0,0.0,0.167024,0.154235,0.015663,1.0,1.0,0.508094,0.628804,0.862924,0.914916,1.118563,1.150805,1.188095,1.189494,5,1.0,67.2511,77.9602
46,3.0,0.001875,0.75,1.0,29.333333333333332,1491.6666666666667,-8183.8333333333285,44742.166666666664,45.4839,29,1491,31,1493,63.3256,44.7007,89.2821,1376.9721,50.2281,-3860.9067,1.0,1.0,,1.0,,,,0.0,,0.041038,0.041038,0.0,0.666667,,,,,,,,,,0,0.0,-34.341,89.0052
47,2.0,0.00125,1.0,2.0,30.5,1541.0,-6950.5,44713.0,45.2494,30,1541,32,1542,1.3945,1.4222,2.4001,2.9395,0.5724,-3934.88,1.0,1.0,0.0,2.0,,,,0.0,0.0,0.040391,0.040391,0.001006,1.0,,-0.007209,-0.004453,-0.004533,0.001928,0.00109,-0.003928,-0.005738,-0.006091,2,1.0,-34.341,89.0052
48,580.0,0.3625,0.6532,1.54,29.881034482758622,1548.6275862068965,-6759.810344827587,44728.474137931036,45.2358,19,1531,43,1568,8.2055,17.6624,89.303,177.9401,430.8083,-3928.1583,1.0,1.0,0.0,546.0,,,,0.0,0.0,0.040749,0.040178,0.002544,0.977586,1.0,-0.008631,-0.00281,-0.001955,0.000562,0.000924,-0.003086,-0.004945,-0.005868,544,0.9379,-34.341,89.0052
49,1.0,0.000625,1.0,1.0,30.0,1557.0,-6550.5,44725.5,45.2021,30,1557,31,1558,0.4582,,0.4582,3.0252,,-3924.8401,1.0,1.0,,1.0,,,,0.0,0.0,0.043204,0.043204,0.0,1.0,1.0,-0.012386,-0.001233,-1.2e-05,0.000377,0.001463,-0.001758,-0.005872,-0.00238,1,1.0,-34.341,89.0052
50,16.0,0.01,0.4571,1.4,31.875,1673.375,-3641.125,44678.625,44.8262,29,1671,36,1676,6.7955,1.3775,9.7537,7.6584,0.8881,-3532.975,1.0,1.0,0.0,16.0,,,,0.0,0.0,0.04939,0.048964,0.001799,1.0,1.0,0.002415,0.006587,0.000227,0.003775,0.00423,-0.004283,-0.004243,0.001454,16,1.0,24.6404,85.2909
51,9.0,0.005625,0.6,1.67,30.0,1990.7777777777778,4293.944444444445,44725.5,44.9307,29,1989,32,1994,12.1177,2.3409,15.1704,12.4714,1.1035,-143.56,1.0,0.0,0.0,9.0,,,,0.0,0.0,0.076674,0.071601,0.007606,1.0,1.0,0.390124,0.487624,0.665264,0.703273,0.855659,0.879309,0.900438,0.909715,9,1.0,24.6404,85.2909
