region_id,area_km2,geo_x,geo_y,grail_anom_context,grail_boug_context,grail_note
17,0.106875,-141.87426900584978,45079.301169590646,24.6404,85.2909,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
89,0.325625,6105.210172744715,43861.20057581574,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
122,0.186875,-5710.533444816057,43871.57023411372,-34.341,89.0052,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
123,1.2675,-3357.1198224852124,43674.994575936886,24.6404,85.2909,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
135,0.225,-6067.930555555555,43695.84722222222,-34.341,89.0052,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
169,0.138125,-5700.386877828052,43399.93438914027,-34.341,89.0052,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
210,0.184375,10133.22881355932,43277.36440677966,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
254,0.325,12680.028846153844,42787.08653846154,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
270,0.18125,11350.879310344826,42607.137931034486,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
292,0.501875,11560.303237858032,42806.78891656289,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
298,0.339375,8201.940147329653,42644.23848987109,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
362,0.304375,11328.247433264893,41699.883983572894,67.2511,77.9602,Regional geophysical context only. 73 unique values across entire study area. GRAIL (10km/px) cannot discriminate between individual candidate regions. Not used in science scoring or accessibility screening.
