region_id,geo_x,geo_y,area_km2,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,dfsar_valid,dfsar_cpr_class,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,minirf_valid,radar_flag
17,-141.87426900584978,45079.301169590646,0.106875,,,,0.0,0.0,False,no_data,0.062509,0.061463,0.006944,1.0,1.0,True,S1_ONLY
89,6105.210172744715,43861.20057581574,0.325625,0.210042,0.184327,0.098162,1.0,1.0,True,normal_low,0.114219,0.109979,0.020607,1.0,1.0,True,BOTH
122,-5710.533444816057,43871.57023411372,0.186875,,,,0.0,0.0,False,no_data,0.050387,0.049187,0.005604,1.0,1.0,True,S1_ONLY
123,-3357.1198224852124,43674.994575936886,1.2675,,,,0.0,0.0,False,no_data,0.049463,0.048784,0.004545,1.0,1.0,True,S1_ONLY
135,-6067.930555555555,43695.84722222222,0.225,,,,0.0,0.0,False,no_data,0.054699,0.051541,0.013576,1.0,1.0,True,S1_ONLY
169,-5700.386877828052,43399.93438914027,0.138125,,,,0.0,0.0,False,no_data,0.057102,0.05399,0.009385,1.0,1.0,True,S1_ONLY
210,10133.22881355932,43277.36440677966,0.184375,0.299573,0.272952,0.095339,1.0,1.0,True,normal_low,0.070897,0.069891,0.006077,1.0,1.0,True,BOTH
254,12680.028846153844,42787.08653846154,0.325,0.230982,0.199178,0.093086,1.0,1.0,True,normal_low,0.118579,0.107378,0.034195,1.0,1.0,True,BOTH
270,11350.879310344826,42607.137931034486,0.18125,0.423646,0.443276,0.201196,1.0,1.0,True,normal_low,0.069227,0.065707,0.011444,1.0,1.0,True,BOTH
292,11560.303237858032,42806.78891656289,0.501875,0.388239,0.36768,0.16521,1.0,1.0,True,normal_low,0.07619,0.072744,0.015314,1.0,1.0,True,BOTH
298,8201.940147329653,42644.23848987109,0.339375,0.241633,0.220309,0.123638,1.0,1.0,True,normal_low,0.115936,0.108654,0.039426,1.0,1.0,True,BOTH
362,11328.247433264893,41699.883983572894,0.304375,0.215355,0.200543,0.066382,1.0,1.0,True,normal_low,0.067486,0.067226,0.008612,1.0,1.0,True,BOTH
