region_id,area_km2,geo_x,geo_y,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,m3_valid_pct,dfsar_cpr_mean,dfsar_cpr_class,radar_flag,minirf_s1_log_mean,qualification_status
17,0.106875,-141.87426900584978,45079.301169590646,,,,,1.0,,no_data,S1_ONLY,0.062509,QUALIFIED
89,0.325625,6105.210172744715,43861.20057581574,,0.67388,,,1.0,0.210042,normal_low,BOTH,0.114219,QUALIFIED
122,0.186875,-5710.533444816057,43871.57023411372,-1.444952,,,1.998102,1.0,,no_data,S1_ONLY,0.050387,QUALIFIED
123,1.2675,-3357.1198224852124,43674.994575936886,0.044626,,,,1.0,,no_data,S1_ONLY,0.049463,QUALIFIED
135,0.225,-6067.930555555555,43695.84722222222,-1.456583,,,,1.0,,no_data,S1_ONLY,0.054699,QUALIFIED
169,0.138125,-5700.386877828052,43399.93438914027,0.359441,,,,1.0,,no_data,S1_ONLY,0.057102,QUALIFIED
210,0.184375,10133.22881355932,43277.36440677966,,,,,1.0,0.299573,normal_low,BOTH,0.070897,QUALIFIED
254,0.325,12680.028846153844,42787.08653846154,,,,,1.0,0.230982,normal_low,BOTH,0.118579,QUALIFIED
270,0.18125,11350.879310344826,42607.137931034486,,1.026487,,,1.0,0.423646,normal_low,BOTH,0.069227,QUALIFIED
292,0.501875,11560.303237858032,42806.78891656289,-0.572161,1.353315,,,1.0,0.388239,normal_low,BOTH,0.07619,QUALIFIED
298,0.339375,8201.940147329653,42644.23848987109,0.145858,0.136062,-0.548832,1.917659,1.0,0.241633,normal_low,BOTH,0.115936,QUALIFIED
362,0.304375,11328.247433264893,41699.883983572894,-0.080923,0.016998,0.031149,-0.028867,1.0,0.215355,normal_low,BOTH,0.067486,QUALIFIED
372,0.080625,10602.79457364342,42080.151162790695,,,,,1.0,0.214319,normal_low,BOTH,0.058709,QUALIFIED
417,0.081875,-16035.041984732825,41551.454198473286,,,,,0.0,,no_data,S1_ONLY,0.087918,QUALIFIED
426,0.096875,10238.209677419356,41388.8870967742,-2.6349,0.076957,0.072114,0.913576,1.0,0.25924,normal_low,BOTH,0.065332,QUALIFIED
450,2.668125,9250.436987584922,41776.37842586086,-0.240989,-0.071156,-0.01963,-0.002925,1.0,0.276866,normal_low,BOTH,0.136134,QUALIFIED
493,0.080625,3411.515503875969,40728.6007751938,0.187473,1.06562,,,1.0,0.206363,normal_low,BOTH,0.088961,QUALIFIED
500,0.170625,8656.826007326003,40971.56227106227,-0.263285,-0.097764,0.018662,-0.028395,1.0,0.238279,normal_low,BOTH,0.090465,QUALIFIED
501,0.153125,12474.704081632648,40727.642857142855,-0.185324,-0.085022,0.054836,0.088236,1.0,0.448962,normal_low,BOTH,0.140005,QUALIFIED
544,0.524375,8764.9052443385,40507.085220500594,-0.214051,-0.089066,0.037998,-0.005921,1.0,0.238648,normal_low,BOTH,0.160526,QUALIFIED
557,0.284375,3725.5989010989,40473.08241758242,-0.31979,0.029481,0.018107,0.862517,1.0,0.286285,normal_low,BOTH,0.067682,QUALIFIED
575,0.289375,2376.929805615546,40258.49136069114,-0.870922,,,,1.0,0.341697,normal_low,BOTH,0.072315,QUALIFIED
590,0.15375,4466.57317073171,40136.06910569106,-0.103131,0.024372,0.06704,0.076887,1.0,0.298982,normal_low,BOTH,0.058466,QUALIFIED
595,0.36875,-1800.457627118638,40280.58474576271,1.54266,,,,1.0,,no_data,S1_ONLY,0.057814,QUALIFIED
622,0.199375,-18587.960815047023,39786.706896551725,1.552102,-1.978833,6.732377,,0.2069,0.633535,typical,BOTH,0.138489,QUALIFIED
642,0.34875,-2388.5376344086035,39931.81720430108,2.240693,,3.333199,4.580797,1.0,,no_data,S1_ONLY,0.059728,QUALIFIED
646,0.21875,10320.21428571429,39678.78571428571,-0.258609,-0.065333,0.067152,0.288736,1.0,0.175765,normal_low,BOTH,0.090747,QUALIFIED
699,0.3675,8819.950680272108,39399.05442176871,-0.221916,-0.072544,0.006118,0.136135,1.0,0.194745,normal_low,BOTH,0.113376,QUALIFIED
701,0.0825,14212.1893939394,39186.295454545456,-0.167638,-0.011794,0.067145,0.006249,1.0,0.335535,normal_low,BOTH,0.06964,QUALIFIED
703,0.215,12271.229651162786,39013.79941860465,-0.17482,-0.101872,0.023486,-0.043678,1.0,0.134169,normal_low,BOTH,0.085663,QUALIFIED
715,1.20875,9409.156153050671,39060.76370217167,-0.187391,-0.034911,-0.012233,0.02968,1.0,0.203025,normal_low,BOTH,0.072437,QUALIFIED
718,0.9625,6923.136363636368,39908.0,0.461881,0.157736,0.239501,,1.0,0.36078,normal_low,BOTH,0.073363,QUALIFIED
749,0.42,13372.71428571429,38733.23809523809,-0.27422,-0.024376,-0.007737,-0.021281,1.0,0.168741,normal_low,BOTH,0.088817,QUALIFIED
759,0.0825,-3865.272727272728,38748.606060606064,0.211433,,-0.180629,,1.0,,no_data,S1_ONLY,0.110082,QUALIFIED
766,0.091875,-19382.98299319728,38874.64965986395,,,2.357246,,1.0,0.437006,normal_low,BOTH,0.130964,QUALIFIED
773,0.111875,-20351.198324022345,38631.64525139665,,,,,0.8715,0.325993,normal_low,BOTH,0.127642,QUALIFIED
804,0.1675,13632.895522388062,38475.96641791045,-0.255492,-0.015494,0.034167,-0.012502,1.0,0.270598,normal_low,BOTH,0.094938,QUALIFIED
885,0.08,10219.03125,37972.375,0.397713,1.049452,-6.885563,,1.0,0.231958,normal_low,BOTH,0.096858,QUALIFIED
886,0.58125,10748.209677419356,37789.34408602151,1.614898,0.913451,1.540472,,1.0,0.165595,normal_low,S1_ONLY,0.083289,QUALIFIED
902,0.16875,-19308.46296296296,37788.09259259259,,1.920021,,,1.0,0.344166,normal_low,BOTH,0.160857,QUALIFIED
910,0.1025,-18970.7743902439,37647.45121951219,,,,,1.0,0.243855,normal_low,S1_ONLY,0.164423,QUALIFIED
