region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
17,0.106875,-141.87426900584978,45079.301169590646,1.0,,,,,,,,,0,0.0
89,0.325625,6105.210172744715,43861.20057581574,1.0,,0.67388,,,,0.095494,,,1,0.019099
122,0.186875,-5710.533444816057,43871.57023411372,1.0,-1.444952,,,1.998102,0.0,,,0.090009,2,0.031503
123,1.2675,-3357.1198224852124,43674.994575936886,1.0,0.044626,,,,0.003129,,,,1,0.000626
135,0.225,-6067.930555555555,43695.84722222222,1.0,-1.456583,,,,0.0,,,,1,0.0
169,0.138125,-5700.386877828052,43399.93438914027,1.0,0.359441,,,,0.025202,,,,1,0.00504
210,0.184375,10133.22881355932,43277.36440677966,1.0,,,,,,,,,0,0.0
254,0.325,12680.028846153844,42787.08653846154,1.0,,,,,,,,,0,0.0
270,0.18125,11350.879310344826,42607.137931034486,1.0,,1.026487,,,,0.145461,,,1,0.029092
292,0.501875,11560.303237858032,42806.78891656289,1.0,-0.572161,1.353315,,,0.0,0.191775,,,2,0.038355
298,0.339375,8201.940147329653,42644.23848987109,1.0,0.145858,0.136062,-0.548832,1.917659,0.010227,0.019281,0.0,0.086385,4,0.036136
362,0.304375,11328.247433264893,41699.883983572894,1.0,-0.080923,0.016998,0.031149,-0.028867,0.0,0.002409,0.003173,0.0,4,0.001275
372,0.080625,10602.79457364342,42080.151162790695,1.0,,,,,,,,,0,0.0
417,0.081875,-16035.041984732825,41551.454198473286,0.0,,,,,,,,,0,0.0
426,0.096875,10238.209677419356,41388.8870967742,1.0,-2.6349,0.076957,0.072114,0.913576,0.0,0.010905,0.007346,0.041154,4,0.018421
450,2.668125,9250.436987584922,41776.37842586086,1.0,-0.240989,-0.071156,-0.01963,-0.002925,0.0,0.0,0.0,0.0,4,0.0
493,0.080625,3411.515503875969,40728.6007751938,1.0,0.187473,1.06562,,,0.013145,0.151007,,,2,0.03283
