region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,qualification_status,disqualification_reason
70,161.0,0.100625,0.6708,1.67,34.95031055900621,1768.6335403726707,-1259.6614906832328,44601.742236024846,44.619,25,1763,45,1775,16.1743,3.2463,26.6656,15.0572,1.3292,-3110.843,1.0,0.5364,0.4224,161.0,,,,0.0,0.0,0.058327,0.057856,0.003936,1.0,1.0,0.00056,0.000671,-0.001108,0.003225,-0.010427,-0.006496,-0.011013,-0.003589,161,1.0,24.6404,85.2909,UNCERTAIN,high_shadow_variation
205,767.0,0.479375,0.5073,1.17,94.45762711864408,1726.400260756193,-2315.4934810951745,43114.0593220339,43.1757,71,1707,113,1743,12.4035,4.3161,29.1999,11.1729,3.3144,-3396.3609,1.0,0.6438,0.4595,767.0,,,,0.0,0.0,0.053007,0.052641,0.003733,1.0,1.0,0.002774,-0.00427,-0.001938,-0.000998,-0.00158,-0.009036,-0.006458,-0.00231,767,1.0,24.6404,85.2909,UNCERTAIN,high_shadow_variation
339,1325.0,0.828125,0.3288,1.05,127.77660377358492,2264.901886792453,11147.047169811318,42281.08490566038,43.7255,100,2231,162,2296,11.8911,5.3059,25.2789,10.1361,4.2272,-364.2371,1.0,0.0107,0.0873,1325.0,0.239759,0.21232,0.10152,1.0,1.0,0.067367,0.064855,0.010791,1.0,1.0,0.011882,0.015962,0.021864,0.019347,0.026785,0.024899,0.021298,0.019847,1325,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation
344,189.0,0.118125,0.525,1.11,133.5978835978836,2102.9523809523807,7098.309523809519,42135.55291005291,42.7289,126,2093,144,2113,13.5819,6.4002,27.3783,12.0774,5.1743,-526.9839,1.0,0.0578,0.1926,189.0,0.119673,0.118446,0.021412,1.0,1.0,0.112882,0.113627,0.010215,1.0,1.0,-0.000815,0.001326,-0.000287,-0.001644,-0.002672,-0.003349,-0.002962,-0.014589,189,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation
412,267.0,0.166875,0.4334,1.27,162.85767790262173,2290.737827715356,11792.945692883892,41404.058052434455,43.0504,149,2280,177,2302,8.7266,4.5458,24.9687,7.5058,3.0358,-367.7997,1.0,0.5696,0.4704,267.0,0.269898,0.264523,0.08693,1.0,1.0,0.078411,0.076274,0.009155,1.0,1.0,0.046473,0.048999,0.072134,0.070853,0.089968,0.093638,0.097727,0.090979,267,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
414,580.0,0.3625,0.5451,1.36,170.91551724137932,2263.6637931034484,11116.09482758621,41202.61206896552,42.6754,158,2247,186,2285,8.4644,6.5335,28.8225,7.3879,5.0827,-304.6677,1.0,0.0765,0.2382,580.0,0.290286,0.295099,0.087113,1.0,1.0,0.067655,0.068683,0.006957,1.0,1.0,0.035108,0.034028,0.053756,0.053082,0.065541,0.06724,0.068126,0.063626,580,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation
459,518.0,0.32375,0.4427,1.3,178.62548262548262,2044.2027027027027,5629.567567567567,41009.862934362936,41.394,166,2023,196,2062,7.423,3.7945,21.0181,6.8146,3.4591,-1127.5012,1.0,0.4536,0.4426,518.0,0.156813,0.158167,0.056255,1.0,1.0,0.11672,0.116774,0.016924,1.0,1.0,-0.001597,-0.000827,0.000213,-0.003455,-0.004321,-0.004563,-0.010249,-0.019507,518,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
465,155.0,0.096875,0.6151,1.29,180.56774193548387,2028.3806451612904,5234.016129032258,40961.3064516129,41.2939,174,2019,188,2037,8.658,6.0864,23.4288,7.0309,2.5632,-1145.353,1.0,0.7804,0.3541,155.0,0.130277,0.129248,0.040907,1.0,1.0,0.129927,0.128367,0.01039,1.0,1.0,-0.004094,6.4e-05,-0.000353,-0.003441,-0.006368,-0.004495,-0.011072,-0.018509,155,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation; high_shadow_variation
484,410.0,0.25625,0.5647,1.5,188.93414634146345,1599.3536585365853,-5491.658536585368,40752.14634146341,41.1199,179,1584,201,1617,18.7706,3.434,29.6761,17.6296,2.5423,-2944.0865,1.0,0.6873,0.4569,410.0,,,,0.0,0.0,0.08555,0.084972,0.008235,1.0,1.0,-0.002574,-0.003078,0.000956,-0.000857,-0.000108,-0.003252,-0.011535,-0.021248,410,1.0,-34.341,89.0052,UNCERTAIN,high_shadow_variation
505,235.0,0.146875,0.3615,1.04,193.7617021276596,2327.0297872340425,12700.244680851063,40631.45744680851,42.5698,179,2314,205,2339,7.5872,3.2537,16.1904,6.7737,2.1992,-282.3867,1.0,0.3011,0.4033,235.0,0.208117,0.171414,0.108127,1.0,1.0,0.14178,0.135694,0.050571,1.0,1.0,0.136037,0.164352,0.218589,0.235338,0.274473,0.262742,0.310144,0.290708,235,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
532,161.0,0.100625,0.5649,1.27,194.8944099378882,2058.211180124224,5979.779503105587,40603.13975155279,41.0407,187,2050,202,2069,6.8725,3.3336,16.7385,6.7638,2.9474,-1116.405,1.0,0.2825,0.3944,161.0,0.212548,0.196972,0.079655,1.0,1.0,0.137093,0.13265,0.029389,1.0,1.0,-0.001556,-0.000425,0.0009,-0.00226,-0.000395,-0.003724,-0.010342,-0.012905,161,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
598,692.0,0.4325,0.4733,1.26,218.66907514450867,2188.8179190751443,9244.947976878611,40008.77312138728,41.0626,196,2174,239,2208,6.2027,2.3109,17.2345,5.0695,1.5273,-450.9375,1.0,0.292,0.4093,692.0,0.147814,0.13955,0.042314,1.0,1.0,0.109407,0.104569,0.024547,1.0,1.0,0.211394,0.259616,0.347859,0.375294,0.458508,0.44337,0.491607,0.457674,692,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
615,189.0,0.118125,0.5526,1.06,217.25925925925927,1186.4126984126983,-15815.18253968254,40044.01851851852,43.0533,208,1178,227,1196,5.9416,2.7239,18.6436,5.6119,1.911,-956.6779,1.0,0.2849,0.37,189.0,,,,0.0,0.0,0.112214,0.106968,0.027448,1.0,1.0,0.06426,0.086431,0.116528,0.121061,0.159616,0.156701,0.174207,0.165111,189,1.0,46.1389,95.783,UNCERTAIN,high_shadow_variation
627,316.0,0.1975,0.513,1.27,221.0126582278481,2214.3259493670885,9882.648734177215,39950.1835443038,41.154,207,2204,235,2226,4.2011,2.0269,10.5004,3.7116,1.1865,-462.0295,1.0,0.2277,0.373,316.0,0.181836,0.167088,0.044781,1.0,1.0,0.099569,0.092799,0.026146,1.0,1.0,0.063231,0.070978,0.093429,0.100224,0.119651,0.118061,0.14011,0.127366,316,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
687,283.0,0.176875,0.536,1.09,241.26855123674912,2216.7809187279154,9944.022968197882,39443.78621908128,40.6776,229,2205,251,2229,5.3263,3.0861,17.9039,4.8378,2.4913,-465.2122,1.0,0.3768,0.4386,283.0,0.230402,0.220237,0.062856,1.0,1.0,0.082894,0.078885,0.013092,1.0,1.0,0.075364,0.088919,0.126011,0.130618,0.15738,0.162483,0.176801,0.169914,283,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
743,504.0,0.315,0.4421,1.27,253.3809523809524,2354.2757936507937,13381.394841269845,39140.97619047619,41.3649,240,2338,270,2376,8.4257,5.1542,23.513,7.4433,4.379,98.5903,1.0,0.017,0.1006,504.0,0.201726,0.199319,0.050154,1.0,1.0,0.079393,0.078517,0.012167,1.0,1.0,0.125221,0.151574,0.217728,0.237472,0.265789,0.272429,0.284587,0.309746,504,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation
795,1334.0,0.83375,0.4236,1.43,294.85082458770614,2384.689655172414,14141.741379310348,38104.22938530735,40.6435,259,2367,326,2414,15.0127,6.0098,29.4817,13.1839,5.2532,27.8161,1.0,0.4311,0.4673,1334.0,0.253282,0.20813,0.163993,1.0,1.0,0.112342,0.100372,0.039683,1.0,1.0,0.01981,0.022811,0.034219,0.033459,0.040931,0.034696,0.03953,0.039067,1334,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation; high_shadow_variation
805,808.0,0.505,0.5658,1.24,269.33044554455444,1099.826732673267,-17979.83168316832,38742.23886138614,42.7104,254,1077,288,1119,13.1533,4.7988,28.5772,11.6973,3.3877,-1669.6033,1.0,0.5642,0.4634,808.0,,,,0.0,0.0,0.123134,0.121115,0.020588,1.0,1.0,-0.001763,0.005678,0.00437,0.004125,0.00634,0.005081,0.008085,0.005634,688,0.8515,46.1389,95.783,UNCERTAIN,high_shadow_variation
809,289.0,0.180625,0.5536,1.61,277.29411764705884,1055.121107266436,-19097.4723183391,38543.14705882353,43.0143,269,1041,287,1070,7.7211,5.7471,24.1238,6.4706,4.0421,-1771.16,1.0,1.0,0.0,289.0,0.306915,0.241676,0.163571,0.99654,0.99654,0.198963,0.177085,0.072112,1.0,1.0,-0.005635,0.000943,-0.000705,-0.000673,0.00265,-0.003719,-0.003492,-0.009628,289,1.0,46.1389,95.783,UNCERTAIN,high_slope_variation
824,299.0,0.186875,0.562,1.47,292.2040133779264,2357.016722408027,13449.918060200676,38170.39966555184,40.4704,283,2341,302,2369,11.6532,5.8207,27.5484,9.304,3.7558,112.4116,1.0,0.1114,0.2572,299.0,0.282328,0.275193,0.093134,1.0,1.0,0.0922,0.08681,0.018227,1.0,1.0,0.0932,0.116972,0.150387,0.157756,0.189774,0.183895,0.200623,0.210997,299,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation
840,175.0,0.109375,0.4605,1.05,286.51428571428573,1006.3485714285714,-20316.785714285717,38312.642857142855,43.3656,278,996,298,1015,14.7004,5.4713,24.5135,13.2325,3.7737,-1871.4334,1.0,1.0,0.0,175.0,0.311023,0.287099,0.102272,1.0,1.0,0.12236,0.127952,0.016257,1.0,1.0,-0.009977,-0.004517,-0.004324,0.001957,-0.000931,-0.009503,-0.00697,-0.01048,175,1.0,46.1389,95.783,UNCERTAIN,high_slope_variation
860,261.0,0.163125,0.5438,1.88,299.9961685823755,2342.0383141762454,13075.457854406137,37975.595785440615,40.1633,292,2329,308,2359,8.3828,3.9519,19.0289,6.9532,2.7137,79.2562,1.0,0.2792,0.3981,261.0,0.261499,0.24881,0.111673,0.827586,0.827586,0.073207,0.07044,0.009828,1.0,1.0,0.054621,0.067618,0.086209,0.089723,0.108556,0.095854,0.107195,0.111293,261,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
926,245.0,0.153125,0.3062,1.28,312.8448979591837,2409.2326530612245,14755.316326530614,37654.37755102041,40.4419,302,2395,327,2427,8.1953,3.7695,21.2391,8.3905,3.1279,-52.206,1.0,0.3146,0.4217,245.0,0.487878,0.372818,0.272066,1.0,1.0,0.107709,0.10606,0.020338,1.0,1.0,-0.003459,0.000166,0.001195,-0.002308,-0.002827,-0.003737,-0.009997,-0.01643,245,1.0,-57.4093,73.0638,UNCERTAIN,high_shadow_variation
1023,499.0,0.311875,0.6397,1.15,329.062124248497,878.6533066132265,-23509.16733466934,37248.94689378758,44.0466,316,864,342,894,14.7546,3.1771,24.0465,13.185,2.6031,-1458.9495,1.0,0.8042,0.3557,499.0,0.229274,0.185822,0.111769,1.0,1.0,0.072319,0.072219,0.006751,1.0,1.0,-0.002705,-0.005582,-0.001152,0.008482,0.00384,-0.006254,0.003439,-0.009203,385,0.7715,46.1389,95.783,UNCERTAIN,high_shadow_variation
1104,1380.0,0.8625,0.3813,1.64,345.6695652173913,2170.75652173913,8793.413043478256,36833.760869565216,37.8685,307,2153,384,2200,15.3666,5.0283,29.8007,13.76,4.1221,-151.5121,1.0,0.0283,0.1395,1380.0,0.368196,0.331278,0.107016,0.555797,0.555797,0.099271,0.090821,0.025401,1.0,1.0,0.020006,0.021778,0.033499,0.031122,0.040431,0.042401,0.039891,0.036741,1380,1.0,67.2511,77.9602,UNCERTAIN,high_slope_variation
1111,266.0,0.16625,0.5758,1.05,341.9248120300752,960.6954887218044,-21458.11278195489,36927.37969924812,42.7086,333,950,355,971,6.6168,5.718,23.7838,6.0016,4.3077,-2354.7202,1.0,1.0,0.0,266.0,0.373804,0.36253,0.095418,1.0,1.0,0.108394,0.108229,0.021543,1.0,1.0,-0.009805,0.000779,0.000552,-0.000319,0.001412,-0.007914,-0.011577,0.016045,266,1.0,46.1389,95.783,UNCERTAIN,high_slope_variation
1179,678.0,0.42375,0.6043,1.03,373.8200589970501,884.4690265486726,-23363.774336283182,36129.99852507375,43.0254,358,869,391,903,9.9041,3.5594,18.7642,8.7619,2.8647,-1463.19,1.0,0.2949,0.4437,678.0,0.385895,0.291677,0.215967,1.0,1.0,0.071136,0.06841,0.012248,1.0,1.0,-0.008439,0.00015,0.000182,-0.001819,-0.003718,-0.009315,-0.017089,-0.027385,678,1.0,46.1389,95.783,UNCERTAIN,high_shadow_variation
1203,390.0,0.24375,0.5804,1.17,376.85641025641024,2333.7128205128206,12867.320512820515,36054.08974358974,38.2811,366,2320,390,2348,5.8618,3.5253,22.4174,4.2468,1.4746,33.6702,1.0,0.3066,0.3843,390.0,,,,0.0,0.0,0.067215,0.064319,0.014672,1.0,1.0,0.002141,0.001263,0.00343,0.003927,0.003337,-0.003252,-0.010377,-0.011212,390,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
1228,636.0,0.3975,0.4942,1.18,386.0849056603773,2097.39465408805,6959.3663522012575,35823.377358490565,36.4927,366,2084,405,2117,11.6142,4.0518,28.6327,10.4127,3.1301,-564.9279,1.0,0.4323,0.4737,636.0,0.143659,0.130781,0.049251,0.97956,0.97956,0.132986,0.119246,0.057396,1.0,1.0,0.003773,-5e-06,0.00019,-0.000724,-0.00092,-0.001577,-0.003504,-0.006969,636,1.0,67.2511,77.9602,UNCERTAIN,high_shadow_variation
1313,3208.0,2.005,0.5036,1.51,405.6658354114713,1883.401496259352,1609.5374064837888,35333.85411471322,35.37,360,1853,458,1918,9.9117,4.713,28.3187,8.4983,3.6265,-605.5783,1.0,0.523,0.4779,3208.0,0.147904,0.132169,0.069071,1.0,1.0,0.093748,0.090797,0.023093,1.0,1.0,0.024607,0.02376,0.035515,0.036106,0.042154,0.035433,0.041711,0.037448,3208,1.0,49.6089,82.7432,UNCERTAIN,high_shadow_variation
1345,146.0,0.09125,0.5407,1.2,401.7191780821918,2263.2876712328766,11106.691780821917,35432.520547945205,37.1322,394,2255,409,2273,9.0936,4.0011,18.8215,7.422,1.9228,-73.8655,1.0,0.5879,0.4222,146.0,,,,0.0,0.0,0.106657,0.107075,0.009252,1.0,1.0,0.003104,-0.000945,0.001031,0.00089,-0.004149,-0.009724,-0.008305,-0.007406,146,1.0,40.2924,84.9679,UNCERTAIN,high_shadow_variation
1482,127.0,0.079375,0.5427,1.38,427.5669291338583,2415.984251968504,14924.106299212595,34786.32677165354,37.8523,421,2408,434,2426,6.1251,3.0902,16.074,6.5273,2.5965,-218.6674,1.0,0.2866,0.3888,127.0,0.194207,0.195695,0.048489,1.0,1.0,0.1247,0.125526,0.020029,1.0,1.0,0.015338,-0.003244,7.5e-05,0.000671,-0.000766,-0.006805,-0.016499,-0.028208,127,1.0,-8.8513,82.0245,UNCERTAIN,high_shadow_variation
